Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56104156,"Soulhome (The Weirkey Chronicles, #1)",Sarah Lin,"Lin, Sarah",,"=""""","=""""",0,4.02,,Kindle Edition,204,2020,2020,2022/09/18,2022/09/18,,,read,,,,1,0
33632660,The Ones Who Walk Away from Omelas,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",5,4.37,Harper Perennial,Kindle Edition,32,2017,1973,2022/08/20,2022/08/19,,,read,,,,1,0
62314351,Mother of Learning: ARC 3,Domagoj Kurmaić,"Kurmaić, Domagoj",,"=""1955252297""","=""9781955252294""",4,4.54,"Wraithmarked Creative, LLC",Kindle Edition,743,2022,2022,2022/09/14,2022/09/10,,,read,,,,1,0
41716919,"Jade War (The Green Bone Saga, #2)",Fonda Lee,"Lee, Fonda",,"=""0316440922""","=""9780316440929""",5,4.41,Orbit,Hardcover,587,2019,2019,2022/02/01,2022/08/14,,,read,,,,1,0
55559974,"Iron Prince (Warformed: Stormweaver, #1)",Bryce O'Connor,"O'Connor, Bryce",Luke Chmilenko,"=""099919206X""","=""""",5,4.58,"Wraithmarked Creative, LLC",Kindle Edition,850,2020,2020,2021/11/14,2021/11/14,,,read,,,,1,0
60236906,Mother of Learning: ARC 2,Domagoj Kurmaić,"Kurmaić, Domagoj",,"=""195525222X""","=""9781955252225""",4,4.51,"Wraithmarked Creative, LLC.",Kindle Edition,664,2022,2022,2022/08/14,2022/08/02,,,read,,,,1,0
59661342,Mother of Learning: ARC 1,Domagoj Kurmaić,"Kurmaić, Domagoj",,"=""1955252092""","=""9781955252096""",4,4.48,"Wraithmarked Creative, LLC",Kindle Edition,644,2021,2021,2022/08/01,2022/08/01,,,read,,,,1,0
18850006,1634: The Baltic War (Ring of Fire #5),Eric Flint,"Flint, Eric",David Weber,"=""1618245724""","=""""",3,4.04,Baen Books,Kindle Edition,718,2013,2007,2022/05/08,2022/05/08,,,read,,,,1,0
18845500,1633 (Ring of Fire #2),David Weber,"Weber, David",Eric Flint,"=""161824342X""","=""""",3,4.04,Baen Books,Kindle Edition,620,2002,2002,2022/04/20,2022/04/20,,,read,,,,1,0
19079874,1632 (Ring of Fire),Eric Flint,"Flint, Eric",,"=""1625790708""","=""""",4,4.05,Baen Books,Kindle Edition,612,2013,2000,2022/02/22,2022/02/22,,,read,,,,1,0
